Y_SampleNr;C_Sequence;C_ECRM;C_wType;C_waterNames;C_Repl;C_Group;Y_Temp;Y_RelHum
1;Seq1;MQ;MQ;MQ;MQ;MQ;22,5;56
2;Seq1;RM;water;MQs;R2;Cont;22,2;55
3;Seq1;RM;water;Ob;R1;GDum;22,2;55
4;Seq1;RM;water;StU;R4;GDum;22,5;57
5;Seq1;RM;water;StU;R2;GDum;22,5;57
6;Seq1;RM;water;Ob;R2;Cont;22,5;57
7;Seq1;RM;water;StU;R1;Cont;22,6;57
8;Seq1;RM;water;MQs;R4;GPos;22,6;57
9;Seq1;RM;water;MQs;R1;Cont;22,7;56
10;Seq1;MQ;MQ;MQ;MQ;MQ;22,5;56
11;Seq1;RM;water;StU;R3;Cont;22,6;56
12;Seq1;RM;water;MQs;R2;GDum;22,5;56
13;Seq1;RM;water;StU;R1;GPos;22,5;55
14;Seq1;RM;water;Ob;R3;GPos;22,8;57
15;Seq1;RM;water;StU;R2;Cont;22,8;56
16;Seq1;RM;water;Ob;R4;GPos;22,8;56
17;Seq1;RM;water;Ob;R4;GDum;22,7;56
18;Seq1;RM;water;MQs;R1;GPos;22,6;56
19;Seq1;MQ;MQ;MQ;MQ;MQ;22,6;55
20;Seq1;RM;water;StU;R3;GPos;22,6;55
21;Seq1;RM;water;MQs;R4;Cont;22,6;55
22;Seq1;RM;water;Ob;R2;GDum;22,6;55
23;Seq1;RM;water;Ob;R2;GPos;22,5;55
24;Seq1;RM;water;MQs;R2;GPos;22,5;55
25;Seq1;RM;water;MQs;R3;GPos;22,5;55
26;Seq1;RM;water;StU;R3;GDum;22,4;55
27;Seq1;RM;water;Ob;R3;Cont;22,4;54
28;Seq1;MQ;MQ;MQ;MQ;MQ;22,4;54
29;Seq1;RM;water;MQs;R3;Cont;22,4;54
30;Seq1;RM;water;Ob;R3;GDum;22,3;54
31;Seq1;RM;water;MQs;R1;GDum;22,4;53
32;Seq1;RM;water;StU;R1;GDum;22,4;54
33;Seq1;RM;water;StU;R4;Cont;22,5;54
34;Seq1;RM;water;StU;R4;GPos;23,7;62
35;Seq1;RM;water;StU;R2;GPos;24,2;66
36;Seq1;RM;water;MQs;R3;GDum;24,6;68
37;Seq1;MQ;MQ;MQ;MQ;MQ;24,3;64
38;Seq1;RM;water;Ob;R1;Cont;23,4;60
39;Seq1;RM;water;Ob;R1;GPos;22,8;57
40;Seq1;RM;water;MQs;R4;GDum;22,4;55
41;Seq1;RM;water;Ob;R4;Cont;22,2;55
42;Seq2;MQ;MQ;MQ;MQ;MQ;23,7;66
43;Seq2;RM;water;Ob;R4;Cont;24,4;68
44;Seq2;RM;water;MQs;R1;Cont;24,5;68
45;Seq2;RM;water;Ob;R4;GDum;23,9;62
46;Seq2;RM;water;MQs;R2;Cont;23,1;58
47;Seq2;RM;water;StU;R2;Cont;22,6;56
48;Seq2;RM;water;StU;R3;GDum;22,2;55
49;Seq2;RM;water;StU;R4;GPos;22,1;54
50;Seq2;RM;water;Ob;R3;GPos;22,1;53
51;Seq2;MQ;MQ;MQ;MQ;MQ;22,2;54
52;Seq2;RM;water;Ob;R1;GPos;22,4;54
53;Seq2;RM;water;StU;R2;GDum;22,3;54
54;Seq2;RM;water;Ob;R2;GDum;22,3;54
55;Seq2;RM;water;MQs;R3;Cont;22,2;55
56;Seq2;RM;water;StU;R2;GPos;22,2;54
57;Seq2;RM;water;Ob;R2;GPos;22,3;54
58;Seq2;RM;water;Ob;R4;GPos;22,2;54
59;Seq2;RM;water;StU;R1;GPos;23,1;60
60;Seq2;MQ;MQ;MQ;MQ;MQ;23,8;64
61;Seq2;RM;water;Ob;R1;GDum;24,3;67
62;Seq2;RM;water;Ob;R1;Cont;24,6;68
63;Seq2;RM;water;StU;R1;GDum;24,3;64
64;Seq2;RM;water;StU;R4;GDum;23,5;60
65;Seq2;RM;water;MQs;R1;GDum;22,6;57
66;Seq2;RM;water;MQs;R1;GPos;22,3;55
67;Seq2;RM;water;MQs;R4;GPos;22,1;54
68;Seq2;RM;water;StU;R1;Cont;22,2;58
69;Seq2;MQ;MQ;MQ;MQ;MQ;23,7;66
70;Seq2;RM;water;Ob;R3;Cont;24,2;68
71;Seq2;RM;water;StU;R3;Cont;24,7;69
72;Seq2;RM;water;MQs;R2;GPos;24,3;64
73;Seq2;RM;water;StU;R3;GPos;23,4;60
74;Seq2;RM;water;MQs;R4;Cont;22,8;57
75;Seq2;RM;water;MQs;R3;GDum;22,3;55
76;Seq2;RM;water;StU;R4;Cont;22,3;57
77;Seq2;RM;water;MQs;R3;GPos;23,6;66
78;Seq2;MQ;MQ;MQ;MQ;MQ;24,2;68
79;Seq2;RM;water;Ob;R3;GDum;24,8;70
80;Seq2;RM;water;Ob;R2;Cont;24,5;66
81;Seq2;RM;water;MQs;R2;GDum;23,7;61
82;Seq2;RM;water;MQs;R4;GDum;23;57